w_flavour,w_nutrition,w_macro,w_cooccurrence,MRR,H@5,H@10
0.25,0.5,0.0,0.25,0.294,0.4211,0.6316
0.25,0.55,0.0,0.2,0.294,0.4211,0.6316
0.05,0.5,0.25,0.2,0.294,0.3684,0.7895
0.05,0.6,0.1,0.25,0.2939,0.4211,0.7895
0.25,0.6,0.0,0.15,0.2939,0.4211,0.6316
0.3,0.6,0.0,0.1,0.2939,0.4211,0.6316
0.15,0.3,0.0,0.55,0.2938,0.4211,0.6316
0.15,0.35,0.0,0.5,0.2938,0.4211,0.6316
0.3,0.65,0.0,0.05,0.2938,0.4211,0.6316
0.3,0.7,0.0,0.0,0.2938,0.4211,0.6316
0.1,0.25,0.0,0.65,0.2936,0.4211,0.6316
0.1,0.2,0.0,0.7,0.2935,0.4211,0.6316
0.05,0.1,0.0,0.85,0.2933,0.4211,0.6316
0.05,0.5,0.1,0.35,0.2928,0.4211,0.7368
0.05,0.55,0.1,0.3,0.2928,0.4211,0.7368
0.05,0.45,0.25,0.25,0.2928,0.3684,0.7895
0.05,0.55,0.2,0.2,0.2928,0.3684,0.7895
0.15,0.75,0.0,0.1,0.2921,0.4211,0.6316
0.15,0.8,0.0,0.05,0.2921,0.4211,0.6316
0.15,0.85,0.0,0.0,0.2921,0.4211,0.6316
0.1,0.55,0.0,0.35,0.292,0.4211,0.6316
0.05,0.45,0.1,0.4,0.2915,0.4211,0.7368
0.05,0.3,0.0,0.65,0.2915,0.4211,0.6316
0.2,0.6,0.2,0.0,0.291,0.4737,0.7895
0.0,0.0,0.9,0.1,0.291,0.4211,0.5263
0.0,0.0,0.95,0.05,0.291,0.4211,0.5263
0.25,0.6,0.15,0.0,0.2909,0.4211,0.6842
0.1,0.55,0.05,0.3,0.2908,0.4211,0.6316
0.2,0.3,0.5,0.0,0.2906,0.4737,0.7895
0.1,0.05,0.85,0.0,0.2906,0.4737,0.7368
0.05,0.35,0.25,0.35,0.2904,0.3684,0.7895
0.05,0.5,0.2,0.25,0.2904,0.3684,0.7895
0.2,0.55,0.25,0.0,0.2903,0.4737,0.7895
0.05,0.4,0.25,0.3,0.2902,0.3684,0.7895
0.05,0.3,0.05,0.6,0.29,0.4211,0.6316
0.2,0.5,0.3,0.0,0.2898,0.4211,0.7895
0.2,0.25,0.55,0.0,0.2897,0.4737,0.7895
0.05,0.85,0.05,0.05,0.2897,0.4211,0.7895
0.2,0.45,0.35,0.0,0.2897,0.4211,0.7895
0.2,0.35,0.4,0.05,0.2892,0.4211,0.7895
0.2,0.35,0.45,0.0,0.2892,0.4211,0.7895
0.2,0.4,0.4,0.0,0.2892,0.4211,0.7895
0.15,0.4,0.05,0.4,0.2885,0.4211,0.6316
0.05,0.55,0.4,0.0,0.2883,0.4737,0.7895
0.1,0.8,0.05,0.05,0.2883,0.4211,0.6842
0.2,0.5,0.05,0.25,0.2883,0.4211,0.6316
0.25,0.55,0.05,0.15,0.2883,0.4211,0.6316
0.25,0.6,0.05,0.1,0.2883,0.4211,0.6316
0.05,0.5,0.45,0.0,0.2882,0.4737,0.7895
0.15,0.1,0.75,0.0,0.2882,0.4737,0.7895
0.15,0.05,0.8,0.0,0.2882,0.4737,0.6842
0.15,0.3,0.55,0.0,0.2882,0.4211,0.7895
0.1,0.75,0.05,0.1,0.2882,0.4211,0.6842
0.2,0.5,0.1,0.2,0.2882,0.4211,0.6842
0.3,0.65,0.05,0.0,0.2882,0.4211,0.6316
0.05,0.55,0.05,0.35,0.2878,0.4211,0.6842
0.1,0.6,0.0,0.3,0.2878,0.4211,0.6316
